Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&reviewScore=4&vendor=Certona&trackingid=806429477362237,Review Score,4 & up
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&reviewScore=3&vendor=Certona&trackingid=806429477362237,Review Score,3 & up
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&reviewScore=2&vendor=Certona&trackingid=806429477362237,Review Score,2 & up
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&reviewScore=1&vendor=Certona&trackingid=806429477362237,Review Score,1 & up
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&department=136&vendor=Certona&trackingid=806429477362237,Department,Women
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&occasion=2035&vendor=Certona&trackingid=806429477362237,Occasion,Casual
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&occasion=2037&vendor=Certona&trackingid=806429477362237,Occasion,Work
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&occasion=2039&vendor=Certona&trackingid=806429477362237,Occasion,Party
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&occasion=2466&vendor=Certona&trackingid=806429477362237,Occasion,Vacation
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&occasion=2525&vendor=Certona&trackingid=806429477362237,Occasion,Wedding Guest
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&activity=1908&vendor=Certona&trackingid=806429477362237,Activity,Hiking
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&activity=1918&vendor=Certona&trackingid=806429477362237,Activity,Yoga & Studio
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&activity=1919&vendor=Certona&trackingid=806429477362237,Activity,Run & Train
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&activity=1921&vendor=Certona&trackingid=806429477362237,Activity,Tennis & Golf
Clothing,Women,Western,Dresses and Jumpsuits,Dresses,https://api.gap.com/commerce/search/products/v2/cc?brand=on&market=us&cid=15292&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&activity=1923&vendor=Certona&trackingid=806429477362237,Activity,Travel & Commute
